ENGLAND AND WALES WIDGET INFORMATION DECEMBER 2021,,,,,13.72,68.60,137.2,,,,,,,,,,Top 10,By Features,,,,,,Top 10,,By Price,,,,
626,1238,612,,Over BUA,Over,East of England,1238,1339,803,376,1228,£350k-£650k,566,,,,,,,,,,,,,,,,,
1228,1239,11,,Normanton BUASD,Normanton,Yorkshire and Humberside,1239,1118,704,1145,850,less than £350k,550,,,,,,,,,,,,,,,,,
1131,1240,109,,Southwater BUA,Southwater,South East,1240,843,923,1189,879,£350k-£650k,567,,,,,,,,,,,,,,,,,
1053,1241,188,,Newbold Verdon BUA,Newbold Verdon,East Midlands,1241,1315,658,571,1211,£350k-£650k,568,,,,,,,,,,,,,,,,,
1315,1242,-73,,Cambourne BUA,Cambourne,East of England,1242,1289,633,1340,341,£350k-£650k,569,,,,,,,,,,,,,,,,,
1271,1243,-28,,Gatley BUASD,Gatley,North West,1243,1041,612,1335,696,£350k-£650k,570,,,,,,,,,,,,,,,,,
1333,1244,-89,,Radcliffe on Trent BUA,Radcliffe on Trent,East Midlands,1244,1023,1316,1106,330,£350k-£650k,571,,,,,,,,,,,,,,,,,
1069,1245,176,,Kearsley BUASD,Kearsley,North West,1245,597,867,937,1281,less than £350k,551,,,,,,,,,,,,,,,,,
947,1246,299,,Morton (South Kesteven) BUA,Morton (South Kesteven),East Midlands,1246,1354,855,472,1151,less than £350k,552,,,,,,,,,,,,,,,,,
1217,1247,30,,Hatfield Peverel BUASD,Hatfield Peverel,East of England,1247,1245,966,804,914,£350k-£650k,572,,,,,,,,,,,,,,,,,
1344,1248,-96,,Markfield BUA,Markfield,East Midlands,1248,1332,482,1050,986,£350k-£650k,573,,,,,,,,,,,,,,,,,
802,1249,447,,Wootton (Bedford) BUASD,Wootton (Bedford),East of England,1249,1136,693,584,1302,£350k-£650k,574,,,,,,,,,,,,,,,,,
1330,1250,-80,,Canvey Island BUA,Canvey Island,East of England,1250,580,694,1368,939,£350k-£650k,575,,,,,,,,,,,,,,,,,
1299,1251,-48,,Bingham BUA,Bingham,East Midlands,1251,1338,690,916,913,£350k-£650k,576,,,,,,,,,,,,,,,,,
1122,1252,130,,Narborough/Enderby BUASD,Narborough/Enderby,East Midlands,1252,1154,1272,1000,455,£350k-£650k,577,,,,,,,,,,,,,,,,,
1363,1253,-110,,New Waltham BUA,New Waltham,Yorkshire and Humberside,1253,893,817,1371,566,less than £350k,553,,,,,,,,,,,,,,,,,
713,1254,541,,Yatton BUASD,Yatton,South West,1254,924,1300,458,1130,£350k-£650k,578,,,,,,,,,,,,,,,,,
1300,1255,-45,,Waltham BUASD,Waltham,Yorkshire and Humberside,1255,789,736,1237,1005,less than £350k,554,,,,,,,,,,,,,,,,,
818,1256,438,,Waterbeach BUASD,Waterbeach,East of England,1256,1352,1107,906,531,£350k-£650k,579,,,,,,,,,,,,,,,,,
1286,1257,-29,,Crofton BUA,Crofton,Yorkshire and Humberside,1257,1240,156,1178,1250,less than £350k,555,,,,,,,,,,,,,,,,,
1032,1258,226,,Sutton (East Cambridgeshire) BUA,Sutton (East Cambridgeshire),East of England,1258,1348,921,657,987,£350k-£650k,580,,,,,,,,,,,,,,,,,
1147,1259,112,,Stotfold BUA,Stotfold,East of England,1259,1004,869,1097,950,£350k-£650k,581,,,,,,,,,,,,,,,,,
1282,1260,-22,,North Weald Bassett BUA,North Weald Bassett,East of England,1260,1305,603,1006,967,Over £650k,123,,,,,,,,,,,,,,,,,
569,1261,692,,Hamble-le-Rice BUA,Hamble-le-Rice,South East,1261,139,1259,858,1326,£350k-£650k,582,,,,,,,,,,,,,,,,,
1127,1262,135,,Marston Moretaine BUA,Marston Moretaine,East of England,1262,1075,758,834,1197,£350k-£650k,583,,,,,,,,,,,,,,,,,
1103,1263,160,,Wollaston BUA,Wollaston,East Midlands,1263,1298,1264,284,1037,£350k-£650k,584,,,,,,,,,,,,,,,,,
1167,1264,97,,Syston BUASD,Syston,East Midlands,1264,1365,522,717,1181,£350k-£650k,585,,,,,,,,,,,,,,,,,
1161,1265,104,,Tadcaster BUA,Tadcaster,Yorkshire and Humberside,1265,785,1352,592,973,£350k-£650k,586,,,,,,,,,,,,,,,,,
825,1266,441,,Peacehaven BUA,Peacehaven,South East,1266,159,1052,1358,1038,£350k-£650k,587,,,,,,,,,,,,,,,,,
682,1267,585,,Longstanton BUA,Longstanton,East of England,1267,1337,643,807,1079,£350k-£650k,588,,,,,,,,,,,,,,,,,
1064,1268,204,,Whetstone BUASD,Whetstone,East Midlands,1268,1356,1125,1014,410,£350k-£650k,589,,,,,,,,,,,,,,,,,
951,1269,318,,Featherstone (Wakefield) BUA,Featherstone (Wakefield),Yorkshire and Humberside,1269,1262,759,1196,635,less than £350k,556,,,,,,,,,,,,,,,,,
1296,1270,-26,,Northwood,Northwood,East of England,1270,883,1217,1128,683,Over £650k,124,,,,,,,,,,,,,,,,,
1221,1271,50,,Ryhill BUA,Ryhill,Yorkshire and Humberside,1271,1216,80,1271,1292,less than £350k,557,,,,,,,,,,,,,,,,,
1340,1272,-68,,Goldthorpe BUASD,Goldthorpe,Yorkshire and Humberside,1272,1188,47,1362,1278,less than £350k,558,,,,,,,,,,,,,,,,,
978,1273,295,,Walter's Ash BUASD,Walter's Ash,South East,1273,446,1349,737,1105,Over £650k,125,,,,,,,,,,,,,,,,,
1204,1274,70,,Dinas Powis BUASD,Dinas Powis,Wales,1274,1106,947,1231,668,£350k-£650k,590,,,,,,,,,,,,,,,,,
925,1275,350,,Hinton BUA,Hinton,East Midlands,1275,1092,1052,537,1261,£350k-£650k,591,,,,,,,,,,,,,,,,,
1098,1276,178,,Ormesby St Margaret BUA,Ormesby St Margaret,East of England,1276,723,1306,1000,856,£350k-£650k,592,,,,,,,,,,,,,,,,,
1309,1277,-32,,Keyworth BUA,Keyworth,East Midlands,1277,1331,774,996,873,£350k-£650k,593,,,,,,,,,,,,,,,,,
748,1278,530,,Thrapston BUASD,Thrapston,East Midlands,1278,930,1367,432,904,£350k-£650k,594,,,,,,,,,,,,,,,,,
1262,1279,17,,Loughton BUASD,Loughton,East of England,1279,1105,667,1223,958,Over £650k,126,,,,,,,,,,,,,,,,,
1045,1279,234,,Harlow BUASD,Harlow,East of England,1279,1114,1097,897,984,£350k-£650k,595,,,,,,,,,,,,,,,,,
1312,1281,-31,,New Marske BUA,New Marske,North East,1281,882,262,1190,1366,less than £350k,559,,,,,,,,,,,,,,,,,
1346,1282,-64,,Sileby BUASD,Sileby,East Midlands,1282,1363,416,809,1258,less than £350k,560,,,,,,,,,,,,,,,,,
1317,1283,-34,,Knebworth BUA,Knebworth,East of England,1283,1069,1356,1019,320,Over £650k,127,,,,,,,,,,,,,,,,,
841,1284,443,,Sacriston BUASD,Sacriston,North East,1284,1140,148,1283,1277,less than £350k,561,,,,,,,,,,,,,,,,,
795,1285,490,,Rothwell BUA,Rothwell,East Midlands,1285,1361,588,444,1342,less than £350k,562,,,,,,,,,,,,,,,,,
934,1286,352,,Frinton-on-Sea BUASD,Frinton-on-Sea,East of England,1286,387,1337,1267,643,£350k-£650k,596,,,,,,,,,,,,,,,,,
1011,1287,276,,Mayland BUA,Mayland,East of England,1287,800,1012,1224,955,£350k-£650k,597,,,,,,,,,,,,,,,,,
881,1288,407,,Ludgershall (Wiltshire) BUA,Ludgershall (Wiltshire),South West,1288,446,1203,714,1332,£350k-£650k,598,,,,,,,,,,,,,,,,,
1008,1289,281,,Tibshelf BUA,Tibshelf,East Midlands,1289,1107,887,1009,1078,less than £350k,563,,,,,,,,,,,,,,,,,
1302,1290,-12,,Ruskington BUA,Ruskington,East Midlands,1290,1267,1119,940,744,less than £350k,564,,,,,,,,,,,,,,,,,
1365,1291,-74,,Copmanthorpe BUASD,Copmanthorpe,Yorkshire and Humberside,1291,1223,895,1098,837,£350k-£650k,599,,,,,,,,,,,,,,,,,
871,1292,421,,Kirkham BUASD,Kirkham,North West,1292,1135,1160,888,947,less than £350k,565,,,,,,,,,,,,,,,,,
986,1293,307,,Littleport BUA,Littleport,East of England,1293,1026,1004,1113,959,£350k-£650k,600,,,,,,,,,,,,,,,,,
700,1294,594,,Godmanchester BUA,Godmanchester,East of England,1294,829,1365,328,1145,£350k-£650k,601,,,,,,,,,,,,,,,,,
1095,1295,200,,Brentwood BUA,Brentwood,East of England,1295,1227,1152,1095,600,Over £650k,128,,,,,,,,,,,,,,,,,
436,1296,860,,Stalbridge BUA,Stalbridge,South West,1296,1030,1232,247,1360,£350k-£650k,602,,,,,,,,,,,,,,,,,
1009,1297,288,,Barking and Dagenham BUASD,Barking and Dagenham,Greater London,1297,795,1257,1204,737,£350k-£650k,603,,,,,,,,,,,,,,,,,
1349,1298,-51,,Beddau BUASD,Beddau,Wales,1298,1176,505,1260,1032,less than £350k,566,,,,,,,,,,,,,,,,,
1242,1299,57,,Widdrington Station BUA,Widdrington Station,North East,1299,824,319,1350,1255,less than £350k,567,,,,,,,,,,,,,,,,,
863,1300,437,,Burtonwood BUA,Burtonwood,North West,1300,1318,226,1070,1304,less than £350k,568,,,,,,,,,,,,,,,,,
1263,1301,38,,Haxby BUA,Haxby,Yorkshire and Humberside,1301,668,372,1333,1289,£350k-£650k,604,,,,,,,,,,,,,,,,,
,1302,1302,,Watlington (King's Lynn and West Norfolk),Watlington (King's Lynn and West Norfolk),East of England,1302,1084,1210,747,1091,£350k-£650k,605,,,,,,,,,,,,,,,,,
1278,1303,25,,Pencoed BUA,Pencoed,Wales,1303,273,1217,1203,1184,less than £350k,569,,,,,,,,,,,,,,,,,
1104,1304,200,,Highley BUA,Highley,West Midlands,1304,1037,675,945,1297,less than £350k,570,,,,,,,,,,,,,,,,,
835,1305,470,,Throckley BUASD,Throckley,North East,1305,1174,404,1182,1222,less than £350k,571,,,,,,,,,,,,,,,,,
1139,1306,167,,Kippax BUASD,Kippax,Yorkshire and Humberside,1306,1244,772,922,1152,less than £350k,572,,,,,,,,,,,,,,,,,
1257,1307,50,,Garforth BUA,Garforth,Yorkshire and Humberside,1307,1228,1083,1200,624,£350k-£650k,606,,,,,,,,,,,,,,,,,
1175,1308,133,,Messingham BUA,Messingham,Yorkshire and Humberside,1308,1214,666,1044,1164,less than £350k,573,,,,,,,,,,,,,,,,,
1327,1309,-18,,Chadwell St Mary BUASD,Chadwell St Mary,East of England,1309,998,630,1212,1202,£350k-£650k,607,,,,,,,,,,,,,,,,,
878,1310,432,,Melbourn BUA,Melbourn,East of England,1310,1257,764,575,1331,£350k-£650k,608,,,,,,,,,,,,,,,,,
1116,1311,195,,Long Buckby BUA,Long Buckby,East Midlands,1311,1266,1131,530,1216,£350k-£650k,609,,,,,,,,,,,,,,,,,
1037,1312,275,,Leyland BUASD,Leyland,North West,1312,1165,1120,1206,687,less than £350k,574,,,,,,,,,,,,,,,,,
828,1313,485,,Ampthill BUA,Ampthill,East of England,1313,842,1354,519,1201,£350k-£650k,610,,,,,,,,,,,,,,,,,
1216,1314,98,,Balsall Common BUA,Balsall Common,West Midlands,1314,1280,1111,994,819,£350k-£650k,611,,,,,,,,,,,,,,,,,
1276,1315,39,,Welham Green BUASD,Welham Green,East of England,1315,1170,388,1035,1340,Over £650k,129,,,,,,,,,,,,,,,,,
1264,1316,52,,Hambleton (Wyre) BUA,Hambleton (Wyre),North West,1316,435,1015,1292,1171,less than £350k,575,,,,,,,,,,,,,,,,,
1237,1317,80,,Bromham (Bedford) BUA,Bromham (Bedford),East of England,1317,992,901,1025,1246,£350k-£650k,612,,,,,,,,,,,,,,,,,
1240,1318,78,,Water Orton BUA,Water Orton,West Midlands,1318,754,1261,1208,884,£350k-£650k,613,,,,,,,,,,,,,,,,,
1265,1319,54,,South Normanton BUASD,South Normanton,East Midlands,1319,1149,1292,1116,593,less than £350k,576,,,,,,,,,,,,,,,,,
1290,1320,30,,Scotter BUA,Scotter,East Midlands,1320,1220,818,706,1313,less than £350k,577,,,,,,,,,,,,,,,,,
1209,1321,112,,Llay BUA,Llay,Wales,1321,974,671,1308,1123,less than £350k,578,,,,,,,,,,,,,,,,,
1164,1322,158,,Marchwood BUA,Marchwood,South East,1322,147,1346,1149,1239,£350k-£650k,614,,,,,,,,,,,,,,,,,
1212,1323,111,,Cheadle Hulme BUASD,Cheadle Hulme,North West,1323,589,975,1321,1152,£350k-£650k,615,,,,,,,,,,,,,,,,,
1359,1324,-35,,Thornton (Wyre) BUASD,Thornton (Wyre),North West,1324,995,711,1326,1095,less than £350k,579,,,,,,,,,,,,,,,,,
1287,1325,38,,Lower Stondon BUA,Lower Stondon,East of England,1325,832,1139,1197,1106,£350k-£650k,616,,,,,,,,,,,,,,,,,
995,1326,331,,Colburn BUA,Colburn,Yorkshire and Humberside,1326,906,891,1323,1046,less than £350k,580,,,,,,,,,,,,,,,,,
1179,1327,148,,Ottershaw,Ottershaw,South East,1327,1094,1348,1073,667,Over £650k,130,,,,,,,,,,,,,,,,,
971,1328,357,,Hilton (South Derbyshire) BUA,Hilton (South Derbyshire),East Midlands,1328,639,1276,1297,919,less than £350k,581,,,,,,,,,,,,,,,,,
973,1329,356,,Rochford BUASD,Rochford,East of England,1329,1073,1267,767,1190,£350k-£650k,617,,,,,,,,,,,,,,,,,
1085,1330,245,,Measham BUA,Measham,East Midlands,1330,1256,1146,739,1181,less than £350k,582,,,,,,,,,,,,,,,,,
1217,1331,114,,Desborough BUA,Desborough,East Midlands,1331,1362,1162,817,1031,less than £350k,583,,,,,,,,,,,,,,,,,
1200,1332,132,,Castle Donington BUA,Castle Donington,East Midlands,1332,1291,1339,520,1071,£350k-£650k,618,,,,,,,,,,,,,,,,,
1212,1333,121,,Rhoose BUA,Rhoose,Wales,1333,529,1146,1213,1274,£350k-£650k,619,,,,,,,,,,,,,,,,,
1269,1334,65,,Culcheth BUA,Culcheth,North West,1334,1283,716,1160,1116,£350k-£650k,620,,,,,,,,,,,,,,,,,
1372,1335,-37,,Lightwater BUA,Lightwater,South East,1335,1099,753,1351,992,Over £650k,131,,,,,,,,,,,,,,,,,
1256,1336,80,,Brayton BUASD,Brayton,Yorkshire and Humberside,1336,1159,819,1346,901,£350k-£650k,621,,,,,,,,,,,,,,,,,
1275,1337,62,,Bulkington BUASD,Bulkington,West Midlands,1337,1086,499,1273,1271,£350k-£650k,622,,,,,,,,,,,,,,,,,
1311,1338,27,,North Baddesley BUA,North Baddesley,South East,1338,961,787,1363,1080,£350k-£650k,623,,,,,,,,,,,,,,,,,
1152,1339,187,,Haslington BUA,Haslington,North West,1339,1219,1073,863,1237,less than £350k,584,,,,,,,,,,,,,,,,,
1268,1340,72,,Irchester BUA,Irchester,East Midlands,1340,1306,765,697,1358,£350k-£650k,624,,,,,,,,,,,,,,,,,
1316,1341,25,,Seghill BUA,Seghill,North East,1341,1194,194,1361,1315,less than £350k,585,,,,,,,,,,,,,,,,,
1370,1342,-28,,Northampton (South Northamptonshire) BUA,Northampton (South Northamptonshire),East Midlands,1342,1302,1291,1337,242,£350k-£650k,625,,,,,,,,,,,,,,,,,
1197,1343,146,,Basildon BUASD,Basildon,East of England,1343,1167,1037,1366,715,£350k-£650k,626,,,,,,,,,,,,,,,,,
1351,1344,-7,,Elton BUASD,Elton,North West,1344,1351,266,1179,1349,less than £350k,586,,,,,,,,,,,,,,,,,
1369,1345,-24,,Groby BUASD,Groby,East Midlands,1345,1344,454,1154,1283,£350k-£650k,627,,,,,,,,,,,,,,,,,
1229,1346,117,,Pyle BUA,Pyle,Wales,1346,884,1244,985,1256,less than £350k,587,,,,,,,,,,,,,,,,,
1295,1347,52,,Broughton (Flintshire) BUA,Broughton (Flintshire),Wales,1347,1071,1102,1087,1208,less than £350k,588,,,,,,,,,,,,,,,,,
876,1348,472,,Loggerheads BUASD,Loggerheads,West Midlands,1348,1255,1032,826,1275,less than £350k,589,,,,,,,,,,,,,,,,,
1279,1349,70,,Sawtry BUA,Sawtry,East of England,1349,1360,674,974,1291,£350k-£650k,628,,,,,,,,,,,,,,,,,
1326,1350,24,,Kennington BUASD,Kennington,South East,1350,566,1312,1247,1147,£350k-£650k,629,,,,,,,,,,,,,,,,,
1335,1351,16,,Great Glen BUA,Great Glen,East Midlands,1351,1366,1351,634,1016,£350k-£650k,630,,,,,,,,,,,,,,,,,
1343,1352,9,,Wideopen BUA,Wideopen,North East,1352,1050,572,1304,1315,less than £350k,590,,,,,,,,,,,,,,,,,
1205,1353,148,,Breaston BUASD,Breaston,East Midlands,1353,1111,1179,815,1334,£350k-£650k,631,,,,,,,,,,,,,,,,,
1259,1354,95,,Potters Bar BUA,Potters Bar,East of England,1354,1199,1298,1244,786,Over £650k,132,,,,,,,,,,,,,,,,,
1325,1355,30,,Llanharry BUA,Llanharry,Wales,1355,1076,1331,1215,897,less than £350k,591,,,,,,,,,,,,,,,,,
1283,1356,73,,Witchford BUA,Witchford,East of England,1356,1346,1362,931,717,£350k-£650k,632,,,,,,,,,,,,,,,,,
1356,1357,1,,Church Village BUASD,Church Village,Wales,1357,1184,696,1344,1206,less than £350k,592,,,,,,,,,,,,,,,,,
1289,1358,69,,Bayston Hill BUA,Bayston Hill,West Midlands,1358,935,961,1302,1264,£350k-£650k,633,,,,,,,,,,,,,,,,,
1353,1359,6,,Papworth Everard BUA,Papworth Everard,East of England,1359,1295,961,1211,1157,£350k-£650k,634,,,,,,,,,,,,,,,,,
1301,1360,59,,Broughton Astley BUA,Broughton Astley,East Midlands,1360,1342,1224,1261,762,£350k-£650k,635,,,,,,,,,,,,,,,,,
1354,1361,7,,Armthorpe BUASD,Armthorpe,Yorkshire and Humberside,1361,1296,432,1369,1248,less than £350k,593,,,,,,,,,,,,,,,,,
1251,1362,111,,Thorpe Willoughby BUA,Thorpe Willoughby,Yorkshire and Humberside,1362,1300,579,1253,1294,£350k-£650k,636,,,,,,,,,,,,,,,,,
1360,1363,3,,Binley Woods BUASD,Binley Woods,West Midlands,1363,1264,567,1285,1299,£350k-£650k,637,,,,,,,,,,,,,,,,,
1241,1364,123,,Freckleton BUA,Freckleton,North West,1364,1172,1297,1275,951,less than £350k,594,,,,,,,,,,,,,,,,,
1250,1365,115,,Ruddington BUASD,Ruddington,East Midlands,1365,1309,820,1077,1346,£350k-£650k,638,,,,,,,,,,,,,,,,,
1345,1366,21,,Fleckney BUA,Fleckney,East Midlands,1366,1357,1135,948,1290,£350k-£650k,639,,,,,,,,,,,,,,,,,
1331,1367,36,,Undy BUASD,Undy,Wales,1367,987,1371,883,1187,£350k-£650k,640,,,,,,,,,,,,,,,,,
1293,1368,75,,Girton BUASD,Girton,East of England,1368,1327,1369,1045,783,Over £650k,133,,,,,,,,,,,,,,,,,
1244,1369,125,,Cosby BUASD,Cosby,East Midlands,1369,1353,1152,923,1370,£350k-£650k,641,,,,,,,,,,,,,,,,,
1367,1370,3,,Bar Hill BUA,Bar Hill,East of England,1370,1319,703,1357,1287,£350k-£650k,642,,,,,,,,,,,,,,,,,
1291,1371,80,,East Leake BUA,East Leake,East Midlands,1371,1320,1366,1003,1104,£350k-£650k,643,,,,,,,,,,,,,,,,,
1366,1372,6,,Cuffley BUA,Cuffley,East of England,1372,1229,1345,1354,1254,Over £650k,134,,,,,,,,,,,,,,,,,
